Country,Organization,Membership Type
Albania,Milieukontakt Albania,Full Member
Austria,NFI - Naturefriends International,Full Member
Austria,ÖKO-BÜRO - Alliance of the Environmental Movement,Full Member
Austria,Umweltdachverband,Full Member
Belgium,BBL - Bond Beter Leefmilieu Vlaanderen,Full Member
Belgium,Canopea,Full Member
Belgium,CATAPA,Associate Member
Bulgaria,Environmental Association Za Zemiata,Full Member
Croatia,"SUNCE - Association for Nature, Environment and Sustainable Development",Full Member
Croatia,ZELENA AKCIJA - Friends of the Earth Croatia,Full Member
Cyprus,Terra Cypria – The Cyprus Conservation Foundation,Full Member
Czech Republic,Zelený Kruh (Green Circle),Full Member
Denmark,The Danish 92 Group,Full Member
Estonia,Estonian Green Movement – Friends of the Earth Estonia,Full Member
Finland,The Finnish Association for Nature Conservation,Full Member
France,France Nature Environnement (FNE),Full Member
Germany,BUND – Friends of the Earth Germany,Full Member
Germany,DUH – Deutsche Umwelthilfe,Full Member
Greece,Hellenic Ornithological Society (HOS),Full Member
Hungary,Clean Air Action Group,Full Member
Hungary,National Society of Conservationists – Friends of the Earth Hungary,Full Member
Ireland,An Taisce – The National Trust for Ireland,Full Member
Ireland,Friends of the Irish Environment,Associate Member
Italy,Legambiente,Full Member
Italy,LIPU – BirdLife Italy,Full Member
Italy,Greenaccord,Associate Member
Italy,WWF Italy,Full Member
Latvia,Latvian Green Movement,Full Member
Latvia,Green Liberty,Associate Member
Lithuania,Lithuanian Green Movement,Full Member
Lithuania,Atgaja,Associate Member
Luxembourg,Mouvement Ecologique,Full Member
Malta,Nature Trust – FEE Malta,Full Member
Netherlands,Milieudefensie – Friends of the Earth Netherlands,Full Member
Netherlands,Stichting Natuur en Milieu,Full Member
Netherlands,IVN – Institute for Nature Education,Associate Member
Norway,Friends of the Earth Norway,Full Member
Poland,Polish Ecological Club,Full Member
Poland,HEAL Poland,Associate Member
Portugal,Quercus – Associação Nacional de Conservação da Natureza,Full Member
Portugal,GEOTA – Grupo de Estudos de Ordenamento do Território e Ambiente,Associate Member
Romania,Bankwatch Romania,Full Member
Serbia,CEKOR – Center for Ecology and Sustainable Development,Full Member
Slovakia,Friends of the Earth Slovakia – CEPA,Full Member
Slovenia,Focus Association for Sustainable Development,Full Member
Spain,Ecologistas en Acción,Full Member
Spain,SEO/BirdLife,Full Member
Sweden,SSNC – Swedish Society for Nature Conservation,Full Member
Switzerland,Pro Natura – Friends of the Earth Switzerland,Full Member
United Kingdom,Friends of the Earth EWNI,Full Member
United Kingdom,Northern Ireland Environment Link,Full Member
United Kingdom,Scottish Environment LINK,Full Member
United Kingdom,Wales Environment Link,Full Member
United Kingdom,Wildlife and Countryside Link,Full Member
