Entity,Year,Coal price index,Oil spot crude price index
Australia,2018,131.13506,
Australia,2019,100.0,
Australia,2020,82.49764,
Australia,2021,153.49947,
Australia,2022,321.71237,
Australia,2023,190.99263,
Brent,2003,,44.900246
Brent,2004,,59.592995
Brent,2005,,84.90983
Brent,2006,,101.4538
Brent,2007,,112.73701
Brent,2008,,151.46411
Brent,2009,,96.04535
Brent,2010,,123.804436
Brent,2011,,173.2668
Brent,2012,,173.91171
Brent,2013,,169.22215
Brent,2014,,154.09613
Brent,2015,,81.585884
Brent,2016,,68.11054
Brent,2017,,84.398
Brent,2018,,111.05657
Brent,2019,,100.0
Brent,2020,,65.158035
Brent,2021,,110.436485
Brent,2022,,157.79333
Brent,2023,,128.70512
Colombia,2010,115.519936,
Colombia,2011,155.54305,
Colombia,2012,126.849525,
Colombia,2013,105.70006,
Colombia,2014,98.0352,
Colombia,2015,92.28824,
Colombia,2016,102.662254,
Colombia,2017,134.1242,
Colombia,2018,141.94177,
Colombia,2019,100.0,
Colombia,2020,88.10084,
Colombia,2021,195.85841,
Colombia,2022,484.54446,
Colombia,2023,194.83344,
Dubai,2003,,41.99129
Dubai,2004,,52.60442
Dubai,2005,,73.43541
Dubai,2006,,96.49776
Dubai,2007,,106.61429
Dubai,2008,,147.98685
Dubai,2009,,95.97694
Dubai,2010,,122.0866
Dubai,2011,,166.27058
Dubai,2012,,171.1846
Dubai,2013,,165.54813
Dubai,2014,,152.28407
Dubai,2015,,80.39625
Dubai,2016,,64.39507
Dubai,2017,,83.21704
Dubai,2018,,110.11678
Dubai,2019,,100.0
Dubai,2020,,66.576866
Dubai,2021,,108.168106
Dubai,2022,,151.28574
Dubai,2023,,128.85986
Indonesia,2019,100.0,
Indonesia,2020,89.490005,
Indonesia,2021,188.459,
Indonesia,2022,252.6293,
Indonesia,2023,167.45494,
Japan,2003,53.844296,
Japan,2004,100.87952,
Japan,2005,87.840355,
Japan,2006,88.64833,
Japan,2007,129.92743,
Japan,2008,214.59848,
Japan,2009,113.61703,
Japan,2010,147.43387,
Japan,2011,171.44614,
Japan,2012,136.33272,
Japan,2013,122.422844,
Japan,2014,103.48138,
Japan,2015,81.68666,
Japan,2016,97.402664,
Japan,2017,130.52368,
Japan,2018,153.23524,
Japan,2019,100.0,
Japan,2020,82.95786,
Japan,2021,155.75227,
Japan,2022,291.65393,
Japan,2023,177.04309,
Netherlands TTF,2005,,
Netherlands TTF,2006,,
Netherlands TTF,2007,,
Netherlands TTF,2008,,
Netherlands TTF,2009,,
Netherlands TTF,2010,,
Netherlands TTF,2011,,
Netherlands TTF,2012,,
Netherlands TTF,2013,,
Netherlands TTF,2014,,
Netherlands TTF,2015,,
Netherlands TTF,2016,,
Netherlands TTF,2017,,
Netherlands TTF,2018,,
Netherlands TTF,2019,,
Netherlands TTF,2020,,
Netherlands TTF,2021,,
Netherlands TTF,2022,,
Netherlands TTF,2023,,
Nigerian Forcados,2003,,44.1649
Nigerian Forcados,2004,,58.70951
Nigerian Forcados,2005,,85.74491
Nigerian Forcados,2006,,103.26178
Nigerian Forcados,2007,,114.68277
Nigerian Forcados,2008,,156.17445
Nigerian Forcados,2009,,97.53769
Nigerian Forcados,2010,,124.80047
Nigerian Forcados,2011,,174.98773
Nigerian Forcados,2012,,175.85388
Nigerian Forcados,2013,,172.36368
Nigerian Forcados,2014,,156.04848
Nigerian Forcados,2015,,83.77271
Nigerian Forcados,2016,,68.57841
Nigerian Forcados,2017,,83.62374
Nigerian Forcados,2018,,111.57777
Nigerian Forcados,2019,,100.0
Nigerian Forcados,2020,,65.14489
Nigerian Forcados,2021,,107.411415
Nigerian Forcados,2022,,156.12694
Nigerian Forcados,2023,,128.71704
Northwest Europe,2003,72.46178,
Northwest Europe,2004,119.89073,
Northwest Europe,2005,100.6191,
Northwest Europe,2006,106.550705,
Northwest Europe,2007,147.56526,
Northwest Europe,2008,245.44072,
Northwest Europe,2009,116.98965,
Northwest Europe,2010,153.73882,
Northwest Europe,2011,201.9056,
Northwest Europe,2012,153.73882,
Northwest Europe,2013,135.77112,
Northwest Europe,2014,125.28645,
Northwest Europe,2015,94.39442,
Northwest Europe,2016,99.865234,
Northwest Europe,2017,140.46036,
Northwest Europe,2018,152.62099,
Northwest Europe,2019,100.0,
Northwest Europe,2020,83.316826,
Northwest Europe,2021,203.77069,
Northwest Europe,2022,484.12424,
Northwest Europe,2023,215.29756,
South Africa,2014,112.81369,
South Africa,2015,85.28616,
South Africa,2016,95.2807,
South Africa,2017,128.59978,
South Africa,2018,140.16173,
South Africa,2019,100.00001,
South Africa,2020,86.7541,
South Africa,2021,173.31467,
South Africa,2022,382.59302,
South Africa,2023,179.01852,
South China,2003,90.19098,
South China,2004,121.48949,
South China,2005,145.86975,
South China,2006,152.07684,
South China,2007,173.95831,
South China,2008,298.24313,
South China,2009,249.62952,
South China,2010,312.7531,
South China,2011,361.59042,
South China,2012,317.89703,
