Country,"Energy imports, net (% of energy use)",Fossil_Fuel_%,GDP_USD,Energy_Import_Bill_%GDP
Albania,12.320705,56.3953388128232,12776224496.9718,12.320705
Algeria,-189.34547,99.9103649953028,229701430292.157,189.34547
Angola,-594.54614,46.5085539184957,132339109040.232,594.54614
Argentina,12.688578,88.9660644106576,552025140252.246,12.688578
Armenia,72.04648,75.4928438218553,11121464437.0415,72.04648
Australia,-172.43834,93.70804882449,1577123329410.88,172.43834
Austria,63.417053,66.2538035085394,426580502769.417,63.417053
Azerbaijan,-327.60037,98.2112327190642,74160560123.6902,327.60037
Bangladesh,14.978324,72.8616719317204,149998957434.186,14.978324
Belarus,85.389626,90.6720403103935,75527558966.4473,85.389626
Belgium,73.19207,70.820305796114,524097026598.55,73.19207
Benin,45.125908,36.4750688056578,12517845127.6775,45.125908
Bolivia,-180.95071,84.1808992754079,30659338885.6729,180.95071
Bosnia and Herzegovina,28.45962,92.504002166717,18179108530.5261,28.45962
Botswana,44.581635,68.8260329481313,14271738933.2042,44.581635
Brazil,13.89082,58.0180822526514,2472819535742.73,13.89082
Bulgaria,37.14268,70.2084792905056,55852123989.9504,37.14268
Cambodia,31.63796,28.612234256152,19807135252.8649,31.63796
Cameroon,-22.823751,35.7817563030499,33728621180.3231,22.823751
Canada,-64.44375,73.1735157237361,1846597421834.98,64.44375
Chile,61.2883,68.6498020919416,277395018837.366,61.2883
China,14.756452,88.2374925685652,9570471111831.68,14.756452
Colombia,-268.53275,76.7621271757288,382093697077.685,268.53275
Costa Rica,49.049934,49.37779479225,50949668841.6696,49.049934
Cote d'Ivoire,4.597375,26.6581215014873,42760235484.6093,4.597375
Croatia,47.411316,71.3032462860036,59852401272.3204,47.411316
Cuba,53.57121,87.5088346223724,77148000000.0,53.57121
Cyprus,94.35631,92.9908098356461,23959712860.8331,94.35631
Czechia,28.104115,77.1817694354636,213024360541.119,28.104115
Denmark,4.9080896,70.2593871097906,344631016965.12,4.9080896
Dominican Republic,86.59393,86.7667115342418,62682159338.0354,86.59393
Ecuador,-118.75888,86.7705451864697,96570334000.0,118.75888
El Salvador,48.310825,47.8968435229118,21990960000.0,48.310825
Estonia,7.226919,17.1986297458196,25451032780.7573,7.226919
Ethiopia,5.5857687,5.78827082005989,47648276605.0123,5.5857687
Finland,45.305058,42.6267230473743,270268036626.275,45.305058
France,46.352875,48.5435813113108,2816077607875.26,46.352875
Gabon,-205.16481,22.0596003888419,17595744798.3398,205.16481
Georgia,63.36345,68.9344955488092,17517660143.6859,63.36345
Germany,62.093784,81.0882680135356,3808086291482.36,62.093784
Ghana,-7.49335,52.4975934413822,62824629066.0408,7.49335
Greece,60.11987,88.0012527595895,236556279640.705,60.11987
Guatemala,27.819923,32.6537067630652,52996446269.442,27.819923
Haiti,18.6978,18.6977990819178,14902488604.2421,18.6978
Honduras,51.53659,51.351342514736,18499729214.904,51.53659
Hungary,54.576492,69.5496374890108,135684315697.713,54.576492
Iceland,10.43892,10.4042068655341,16125060515.3117,10.43892
India,32.475555,72.2854586440549,1856721507621.58,32.475555
Indonesia,-112.28375,65.2656868066395,912524136718.018,112.28375
Iraq,-218.5696,96.6806234752078,234637675128.645,218.5696
Ireland,82.711235,86.2779024708277,243301556084.989,82.711235
Israel,71.83296,96.5747145209958,297634145181.876,71.83296
Italy,76.338776,79.9643345866816,2153225581941.46,76.338776
Jamaica,82.54226,81.4078734948006,14264205152.6126,82.54226
Japan,93.918625,94.6333015307236,5212328181166.18,93.918625
Jordan,96.53969,97.6182683884871,34454440140.8451,96.53969
Kazakhstan,-107.34155,99.1926577444612,236634603409.089,107.34155
Kenya,18.139648,18.2660722824899,61671440407.8387,18.139648
Kosovo,23.972395,90.2107913104522,6735328609.6594,23.972395
Kuwait,-387.6093,96.4901747587401,174168116687.215,387.6093
Latvia,50.609516,58.9242124779904,29152128167.8438,50.609516
Lebanon,96.47034,95.741863079323,46880103080.597,96.47034
Libya,-227.78896,99.1855059681181,75351107029.0605,227.78896
Lithuania,76.498184,70.0223364446159,46303660422.0434,76.498184
Luxembourg,96.62699,84.5060018141859,65203276466.9763,96.62699
Malaysia,-5.760513,96.7518810939698,323276235524.415,5.760513
Malta,98.839615,98.7575965879798,10796782637.51,98.839615
Mauritius,83.7811,83.7811710744041,12292974141.4044,83.7811
Mexico,-12.725915,90.5710453808104,1327436290282.67,12.725915
Moldova,90.0496,86.3312122576328,9496717875.51932,90.0496
Mongolia,-211.39728,92.6936840822322,12582122604.2577,211.39728
Montenegro,22.230326,63.8690239130058,4465772400.37453,22.230326
Morocco,90.24558,88.2493003027131,115739287305.08,90.24558
Mozambique,-53.478924,9.08139697417887,17198073057.1981,53.478924
Myanmar,-39.8198,30.7299531252145,60269732854.827,39.8198
Namibia,75.30615,66.7739522811244,12043307277.1235,75.30615
Nepal,14.594761,13.6779932308943,22162204924.5726,14.594761
Netherlands,10.384686,91.5543679014014,883951539006.669,10.384686
New Zealand,16.414095,60.8326537650663,190909855416.34,16.414095
Nicaragua,39.748993,40.5097685076521,10982954744.4415,39.748993
Niger,-4.6321354,26.7311182124669,10224897437.8648,4.6321354
Nigeria,-90.578354,18.5892631362877,520117180313.906,90.578354
North Macedonia,49.6488,81.1431645887882,10817702346.0674,49.6488
Norway,-494.81573,61.8401185070124,526014468085.106,494.81573
Oman,-209.61606,100.0,89936020806.2419,209.61606
Pakistan,23.438585,59.2801423982611,258657231672.412,23.438585
Panama,79.911415,79.902756818025,46949496500.0,79.911415
Paraguay,-50.809063,33.6151040549238,38501122141.4241,50.809063
Peru,-18.918737,76.2439460588969,201175543571.392,18.918737
Philippines,45.324886,61.4121390511965,283902828581.65,45.324886
Poland,27.332094,91.1464064236081,518179836405.36,27.332094
Portugal,73.17308,73.3496291275565,226677408291.745,73.17308
Qatar,-455.17227,100.0,198727642967.033,455.17227
Romania,18.759323,73.4937634512981,189798603751.235,18.759323
Saudi Arabia,-219.7395,99.5705624972637,753864533333.333,219.7395
Senegal,51.173393,52.1727077058779,18918667724.8817,51.173393
Serbia,23.679342,88.4859248789371,50455529604.0696,23.679342
Singapore,97.55517,94.0061562567706,307576360584.992,97.55517
Slovenia,47.285206,63.7493163120476,47867056858.8892,47.285206
South Africa,-18.588886,86.5753045830766,400886013595.573,18.588886
South Sudan,-672.395,72.3759875950676,18426469016.9492,672.395
Spain,70.34306,72.5513506266274,1362186923157.65,70.34306
Sri Lanka,45.87417,45.8741802418794,77000578167.353,45.87417
Sudan,-9.172113,31.1991384819572,43024018082.1918,9.172113
Suriname,-39.866486,76.8841991467123,5145757575.75758,39.866486
Sweden,28.999817,30.0160156092433,584128116410.29,28.999817
Switzerland,51.51977,52.1055585887724,706234937370.968,51.51977
Tajikistan,33.716866,33.9403387302326,8448411318.25417,33.716866
Tanzania,11.287574,14.8811091233319,45648857242.315,11.287574
Thailand,42.473183,80.6669969491399,420333654592.547,42.473183
Togo,19.892437,17.3858974470914,6021732977.26584,19.892437
Trinidad and Tobago,-103.54537,99.9299494585088,28709859468.8597,103.54537
Tunisia,29.9223,88.2294285366633,48685446413.953,29.9223
Ukraine,25.669859,78.2318522496021,190498811460.028,25.669859
United Arab Emirates,-187.52425,93.6148828988519,400218529747.597,187.52425
United Kingdom,42.323917,83.5597408024201,2784853502534.29,42.323917
United States,13.943432,82.9405096870129,16880683000000.0,13.943432
Uruguay,52.56153,52.9163537788161,61337621933.7857,52.56153
Uzbekistan,-26.164858,97.738499471809,73180037914.9104,26.164858
World,-3.0671847,80.9427289687651,77873446166546.9,3.0671847
Zambia,8.292943,10.5633241033139,28037239462.7142,8.292943
Zimbabwe,15.309013,29.0957594045934,19091020000.0,15.309013
