Entity,Code,Year,Number of patents in solar photovoltaic technology,Number of patents in solar thermal technology,Number of patents in solar photovoltaic and thermal hybrid technology,Number of patents in wind energy,Number of patents in hydropower,Number of patents in marine and tidal energy,Number of patents in bioenergy,Number of patents in geothermal energy
Africa,,2000,7,8,1,3,5,1,8,
Africa,,2001,5,10,6,10,3,1,18,
Africa,,2002,3,17,8,22,6,3,9,
Africa,,2003,8,8,5,47,2,1,17,1
Africa,,2004,12,17,6,37,3,4,26,
Africa,,2005,10,28,14,33,5,11,45,1
Africa,,2006,13,19,16,20,7,14,22,
Africa,,2007,20,30,14,36,8,16,42,3
Africa,,2008,36,91,23,48,6,14,47,
Africa,,2009,55,88,11,67,17,29,59,1
Africa,,2010,71,126,37,82,23,23,140,2
Africa,,2011,105,251,28,69,30,41,159,3
Africa,,2012,143,231,21,87,9,16,147,3
Africa,,2013,97,257,30,89,11,23,112,2
Africa,,2014,91,203,21,113,23,18,90,3
Africa,,2015,101,203,10,123,12,16,70,1
Africa,,2016,74,73,14,57,7,10,125,1
Africa,,2017,64,73,18,57,11,14,47,3
Africa,,2018,89,75,22,53,8,7,47,3
Africa,,2019,62,36,10,43,11,13,22,1
Africa,,2020,12,19,4,13,1,5,14,1
Africa,,2021,4,,,,2,1,,1
Algeria,DZA,2001,1,1,2,,,,1,
Algeria,DZA,2002,1,1,,,,,,
Algeria,DZA,2000,,,,,1,,,
Argentina,ARG,2000,3,5,3,14,4,1,16,
Argentina,ARG,2001,1,4,1,7,,,9,
Argentina,ARG,2003,2,1,1,28,7,,4,
Argentina,ARG,2005,11,6,,28,3,3,15,1
Argentina,ARG,2006,17,12,4,14,5,5,23,
Argentina,ARG,2007,6,3,3,18,6,12,48,
Argentina,ARG,2008,9,15,7,12,9,7,65,1
Argentina,ARG,2009,3,8,8,33,5,7,56,
Argentina,ARG,2010,7,8,8,30,5,7,53,
Argentina,ARG,2011,9,13,5,35,6,4,57,1
Argentina,ARG,2012,4,8,9,61,6,3,64,1
Argentina,ARG,2013,6,6,1,77,5,2,50,4
Argentina,ARG,2014,3,5,2,56,9,5,29,
Argentina,ARG,2015,1,4,4,45,5,1,35,
Argentina,ARG,2016,8,6,1,35,4,4,49,4
Argentina,ARG,2017,6,1,4,39,2,2,15,2
Argentina,ARG,2018,7,9,1,9,1,1,14,5
Argentina,ARG,2019,13,9,6,11,3,1,29,4
Argentina,ARG,2020,1,,,1,1,,4,
Argentina,ARG,2002,,3,,47,8,1,4,
Argentina,ARG,2004,,,2,32,3,,4,
Asia,,2000,2077,958,249,512,318,88,1157,58
Asia,,2001,1991,973,261,705,359,94,1150,87
Asia,,2002,1955,1201,232,846,363,88,1297,131
Asia,,2003,2097,1102,286,985,378,88,1391,138
Asia,,2004,2568,1364,259,1131,466,193,1464,130
Asia,,2005,2878,1410,361,1407,548,212,1585,144
Asia,,2006,3666,2258,514,1684,595,270,2357,186
Asia,,2007,5332,2628,565,2162,758,374,2757,233
Asia,,2008,8037,3899,824,3312,1039,526,3369,263
Asia,,2009,12612,5183,1148,5133,1367,753,3545,456
Asia,,2010,16600,6144,1493,5637,1337,798,4143,378
Asia,,2011,18892,6293,1587,6482,1781,898,4445,434
